season,matchday,home_team,away_team,date,home_goals,away_goals
2024,1,Genoa CFC,FC Internazionale Milano,2024-08-17 16:30:00+00:00,2,2
2024,1,Parma Calcio 1913,ACF Fiorentina,2024-08-17 16:30:00+00:00,1,1
2024,1,Empoli FC,AC Monza,2024-08-17 18:45:00+00:00,0,0
2024,1,AC Milan,Torino FC,2024-08-17 18:45:00+00:00,2,2
2024,1,Bologna FC 1909,Udinese Calcio,2024-08-18 16:30:00+00:00,1,1
2024,1,Hellas Verona FC,SSC Napoli,2024-08-18 16:30:00+00:00,3,0
2024,1,Cagliari Calcio,AS Roma,2024-08-18 18:45:00+00:00,0,0
2024,1,SS Lazio,Venezia FC,2024-08-18 18:45:00+00:00,3,1
2024,1,US Lecce,Atalanta BC,2024-08-19 16:30:00+00:00,0,4
2024,1,Juventus FC,Como 1907,2024-08-19 18:45:00+00:00,3,0
2024,2,Parma Calcio 1913,AC Milan,2024-08-24 16:30:00+00:00,2,1
2024,2,Udinese Calcio,SS Lazio,2024-08-24 16:30:00+00:00,2,1
2024,2,FC Internazionale Milano,US Lecce,2024-08-24 18:45:00+00:00,2,0
2024,2,AC Monza,Genoa CFC,2024-08-24 18:45:00+00:00,0,1
2024,2,ACF Fiorentina,Venezia FC,2024-08-25 16:30:00+00:00,0,0
2024,2,Torino FC,Atalanta BC,2024-08-25 16:30:00+00:00,2,1
2024,2,SSC Napoli,Bologna FC 1909,2024-08-25 18:45:00+00:00,3,0
2024,2,AS Roma,Empoli FC,2024-08-25 18:45:00+00:00,1,2
2024,2,Cagliari Calcio,Como 1907,2024-08-26 16:30:00+00:00,1,1
2024,2,Hellas Verona FC,Juventus FC,2024-08-26 18:45:00+00:00,0,3
2024,3,Venezia FC,Torino FC,2024-08-30 16:30:00+00:00,0,1
2024,3,FC Internazionale Milano,Atalanta BC,2024-08-30 18:45:00+00:00,4,0
2024,3,Bologna FC 1909,Empoli FC,2024-08-31 16:30:00+00:00,1,1
2024,3,US Lecce,Cagliari Calcio,2024-08-31 16:30:00+00:00,1,0
2024,3,SS Lazio,AC Milan,2024-08-31 18:45:00+00:00,2,2
2024,3,SSC Napoli,Parma Calcio 1913,2024-08-31 18:45:00+00:00,2,1
2024,3,ACF Fiorentina,AC Monza,2024-09-01 16:30:00+00:00,2,2
2024,3,Genoa CFC,Hellas Verona FC,2024-09-01 16:30:00+00:00,0,2
2024,3,Juventus FC,AS Roma,2024-09-01 18:45:00+00:00,0,0
2024,3,Udinese Calcio,Como 1907,2024-09-01 18:45:00+00:00,1,0
2024,4,Como 1907,Bologna FC 1909,2024-09-14 13:00:00+00:00,2,2
2024,4,Empoli FC,Juventus FC,2024-09-14 16:00:00+00:00,0,0
2024,4,AC Milan,Venezia FC,2024-09-14 18:45:00+00:00,4,0
2024,4,Genoa CFC,AS Roma,2024-09-15 10:30:00+00:00,1,1
2024,4,Atalanta BC,ACF Fiorentina,2024-09-15 13:00:00+00:00,3,2
2024,4,Torino FC,US Lecce,2024-09-15 13:00:00+00:00,0,0
2024,4,Cagliari Calcio,SSC Napoli,2024-09-15 16:00:00+00:00,0,4
2024,4,AC Monza,FC Internazionale Milano,2024-09-15 18:45:00+00:00,1,1
2024,4,Parma Calcio 1913,Udinese Calcio,2024-09-16 16:30:00+00:00,2,3
2024,4,SS Lazio,Hellas Verona FC,2024-09-16 18:45:00+00:00,2,1
2024,5,Cagliari Calcio,Empoli FC,2024-09-20 16:30:00+00:00,0,2
2024,5,Hellas Verona FC,Torino FC,2024-09-20 18:45:00+00:00,2,3
2024,5,Venezia FC,Genoa CFC,2024-09-21 13:00:00+00:00,2,0
2024,5,Juventus FC,SSC Napoli,2024-09-21 16:00:00+00:00,0,0
2024,5,US Lecce,Parma Calcio 1913,2024-09-21 18:45:00+00:00,2,2
2024,5,ACF Fiorentina,SS Lazio,2024-09-22 10:30:00+00:00,2,1
2024,5,AC Monza,Bologna FC 1909,2024-09-22 13:00:00+00:00,1,2
2024,5,AS Roma,Udinese Calcio,2024-09-22 16:00:00+00:00,3,0
