num_matches,matches,types,total_quota,total_probability,expected_return_per_euro,roi_percentage,score
2,"['Genoa CFC vs Hellas Verona FC', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X']",1.67,73.25391574571654,1.23,22.56,1.1003638957792194
2,"['Genoa CFC vs Hellas Verona FC', 'AS Roma vs SSC Napoli']","['1X', '1X']",1.9,66.11117586405804,1.26,25.74,1.0452014459078687
3,"['Genoa CFC vs Hellas Verona FC', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X']",2.23,59.53812532831604,1.32,32.49,1.0450391200613234
2,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC']","['1X', '1X']",1.63,71.64561158375376,1.17,16.8,0.9773509971851336
3,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X', '1X']",1.91,64.52230422385271,1.23,23.07,0.9771992089067961
2,"['Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X']",1.56,73.19553434706398,1.14,13.9,0.9495738849964692
3,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X']",2.17,58.230954048989695,1.26,26.25,0.9282111399757703
4,"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X', '1X']",2.54,52.44138823495054,1.33,33.03,0.9280669834022607
2,"['Genoa CFC vs Hellas Verona FC', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X']",1.53,72.88133694754238,1.12,11.52,0.9063347312727665
3,"['Genoa CFC vs Hellas Verona FC', 'Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X']",1.79,65.6351685863307,1.18,17.5,0.9061939722324078
2,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio']","['1X', '1X']",1.49,73.80014294326476,1.1,9.76,0.8890176075924632
3,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X', '1X']",1.74,66.46262303424754,1.16,15.65,0.8888795380018486
2,"['Como 1907 vs US Sassuolo Calcio', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X']",1.33,79.32303056110183,1.06,5.8,0.8879312088935503
2,"['Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio']","['1X', '1X']",1.62,69.35035619055802,1.12,12.06,0.8709135547423652
3,"['Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X', '1X']",1.89,62.455252753741505,1.18,18.08,0.8707782968161585
3,"['Genoa CFC vs Hellas Verona FC', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X']",2.04,59.235306796984965,1.21,20.55,0.8607654737522832
4,"['Genoa CFC vs Hellas Verona FC', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X', '1X', '1X']",2.38,53.345884018037815,1.27,27.02,0.8606317918819119
2,"['Genoa CFC vs Hellas Verona FC', 'US Lecce vs Torino FC']","['1X', '2X']",1.93,61.070126252771296,1.18,17.9,0.8488404470447917
3,"['Genoa CFC vs Hellas Verona FC', 'US Lecce vs Torino FC', 'Atalanta BC vs ACF Fiorentina']","['1X', '2X', '1X']",2.26,54.99827802382692,1.24,24.22,0.8487086172002309
3,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X']",1.98,59.98207897931608,1.19,18.64,0.8443190311142854
4,"['Genoa CFC vs Hellas Verona FC', 'Juventus FC vs Cagliari Calcio', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X', '1X']",2.31,54.018408976219675,1.25,25.01,0.844187903471842
2,"['Como 1907 vs US Sassuolo Calcio', 'AS Roma vs SSC Napoli']","['1X', '1X']",1.52,71.58851196021833,1.09,8.54,0.8434182427850864
3,"['Como 1907 vs US Sassuolo Calcio', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X']",1.77,64.47088168450409,1.14,14.37,0.8432872550402949
3,"['Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X']",2.15,56.36545372904847,1.21,21.14,0.8271252250174279
4,"['Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina', 'AS Roma vs SSC Napoli']","['1X', '1X', '1X', '1X']",2.51,50.76136378527111,1.28,27.64,0.8269967676727927
2,"['Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['1X', '1X']",1.25,80.69117410304571,1.01,1.02,0.8234123625176974
2,"['Juventus FC vs Cagliari Calcio', 'Atalanta BC vs ACF Fiorentina']","['1X', '1X']",1.22,81.70843774930839,0.99,-0.58,0.807679616955155
3,"['Genoa CFC vs Hellas Verona FC', 'US Lecce vs Torino FC', 'AS Roma vs SSC Napoli']","['1X', '2X', '1X']",2.57,49.635583212712994,1.27,27.44,0.8061619226646585
