matches,types,num_matches,total_quota,total_probability,expected_return_per_euro,roi_percentage,score,peso_stake
"['Como 1907 vs US Sassuolo Calcio', 'Atalanta BC vs ACF Fiorentina']","['NG', 'NG']",2,3.74,51.09000058041468,1.91,91.08,0.6885400034824881,0.47408733639566475
"['Como 1907 vs US Sassuolo Calcio', 'AC Milan vs SS Lazio']","['NG', 'NG']",2,3.37,49.429531569540686,1.66,66.38,0.628577189417244,
"['Como 1907 vs US Sassuolo Calcio', 'Bologna FC 1909 vs US Cremonese']","['NG', 'NG']",2,2.99,52.40757200019429,1.57,56.8,0.6284454320011659,
"['Como 1907 vs US Sassuolo Calcio', 'Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['NG', 'NG', 'NG']",3,5.98,35.88935072557074,2.15,114.76,0.6153361043534245,0.37863852132084846
"['Como 1907 vs US Sassuolo Calcio', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina']","['NG', 'NG', 'NG']",3,6.73,33.84995196292132,2.28,127.88,0.6030997117775279,
"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'Atalanta BC vs ACF Fiorentina']","['NG', 'NG', 'NG']",3,7.03,30.755043362121942,2.16,116.24,0.5845302601727317,
"['Como 1907 vs US Sassuolo Calcio', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['NG', 'NG', 'NG', 'NG']",4,10.77,23.77868045095928,2.56,156.12,0.5426720827057556,0.23559439147856198
"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['NG', 'NG', 'NG', 'NG']",4,11.25,21.604590433816973,2.43,143.05,0.5296275426029018,
"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'Bologna FC 1909 vs US Cremonese']","['NG', 'NG', 'NG', 'NG']",4,10.12,20.902422641677035,2.12,111.64,0.5254145358500623,
"['Como 1907 vs US Sassuolo Calcio', 'Genoa CFC vs Hellas Verona FC', 'AC Milan vs SS Lazio', 'Atalanta BC vs ACF Fiorentina', 'Bologna FC 1909 vs US Cremonese']","['NG', 'NG', 'NG', 'NG', 'NG']",5,20.25,14.314236446566857,2.9,189.86,0.48588541867940116,0.14165078405115417
